"","Gender","Age","Department","Response","Satisfaction","Statement"
"295","Male","Below 35","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"296","Male","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"297","Male","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"298","Male","46-55","Water","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"299","Male","Above 55","Transport","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"300","Male","Below 35","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"301","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"302","Male","Below 35","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"303","Male","46-55","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"304","Male","46-55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"305","Female","Above 55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"306","Male","46-55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"307","Male","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"308","Female","36-45","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"309","Male","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"310","Female","Below 35","OOG","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
